unix,low,high,open,close,volume,date,time,vol_fiat
1626825600,2.313e-05,2.448e-05,2.335e-05,2.396e-05,1032662,2021-07-21,2021-07-21,24.74258152
1626739200,2.3e-05,2.473e-05,2.435e-05,2.333e-05,2510422,2021-07-20,2021-07-20,58.568145259999994
1626652800,2.43e-05,2.541e-05,2.51e-05,2.434e-05,1535699,2021-07-19,2021-07-19,37.37891366
1626566400,2.481e-05,2.54e-05,2.487e-05,2.511e-05,860847,2021-07-18,2021-07-18,21.61586817
1626480000,2.466e-05,2.548e-05,2.501e-05,2.486e-05,992494,2021-07-17,2021-07-17,24.67340084
1626393600,2.465e-05,2.746e-05,2.618e-05,2.497e-05,1609004,2021-07-16,2021-07-16,40.17682988
1626307200,2.588e-05,2.655e-05,2.62e-05,2.616e-05,417130,2021-07-15,2021-07-15,10.9121208
1626220800,2.589e-05,2.694e-05,2.673e-05,2.617e-05,751594,2021-07-14,2021-07-14,19.66921498
1626134400,2.592e-05,2.764e-05,2.622e-05,2.673e-05,698493,2021-07-13,2021-07-13,18.67071789
1626048000,2.576e-05,2.639e-05,2.611e-05,2.621e-05,481910,2021-07-12,2021-07-12,12.6308611
1625961600,2.6e-05,2.727e-05,2.658e-05,2.608e-05,621007,2021-07-11,2021-07-11,16.195862560000002
1625875200,2.598e-05,2.699e-05,2.684e-05,2.664e-05,612285,2021-07-10,2021-07-10,16.3112724
1625788800,2.56e-05,2.792e-05,2.641e-05,2.683e-05,2210429,2021-07-09,2021-07-09,59.30581007
1625702400,2.607e-05,2.687e-05,2.673e-05,2.641e-05,760243,2021-07-08,2021-07-08,20.078017629999998
1625616000,2.61e-05,2.712e-05,2.668e-05,2.675e-05,888498,2021-07-07,2021-07-07,23.7673215
1625529600,2.583e-05,2.718e-05,2.592e-05,2.667e-05,1568654,2021-07-06,2021-07-06,41.83600218
1625443200,2.491e-05,2.618e-05,2.493e-05,2.592e-05,708760,2021-07-05,2021-07-05,18.371059199999998
1625356800,2.481e-05,2.571e-05,2.528e-05,2.491e-05,594509,2021-07-04,2021-07-04,14.80921919
1625270400,2.478e-05,2.543e-05,2.501e-05,2.531e-05,908212,2021-07-03,2021-07-03,22.98684572
1625184000,2.435e-05,2.504e-05,2.486e-05,2.499e-05,550611,2021-07-02,2021-07-02,13.75976889
1625097600,2.461e-05,2.527e-05,2.521e-05,2.489e-05,953761,2021-07-01,2021-07-01,23.73911129
1625011200,2.44e-05,2.529e-05,2.475e-05,2.516e-05,2410242,2021-06-30,2021-06-30,60.64168872
1624924800,2.434e-05,2.585e-05,2.447e-05,2.475e-05,1529133,2021-06-29,2021-06-29,37.84604175
1624838400,2.39e-05,2.5e-05,2.422e-05,2.444e-05,1056693,2021-06-28,2021-06-28,25.82557692
1624752000,2.354e-05,2.517e-05,2.508e-05,2.411e-05,1223121,2021-06-27,2021-06-27,29.489447310000003
1624665600,2.452e-05,2.541e-05,2.506e-05,2.508e-05,742761,2021-06-26,2021-06-26,18.62844588
1624579200,2.461e-05,2.557e-05,2.524e-05,2.505e-05,1177587,2021-06-25,2021-06-25,29.49855435
1624492800,2.456e-05,2.574e-05,2.477e-05,2.52e-05,936623,2021-06-24,2021-06-24,23.6028996
1624406400,2.234e-05,2.518e-05,2.28e-05,2.475e-05,2075082,2021-06-23,2021-06-23,51.358279499999995
1624320000,2.275e-05,2.597e-05,2.384e-05,2.285e-05,3977047,2021-06-22,2021-06-22,90.87552395
1624233600,2.381e-05,2.661e-05,2.63e-05,2.383e-05,2333765,2021-06-21,2021-06-21,55.61361995
1624147200,2.601e-05,2.694e-05,2.637e-05,2.627e-05,1119878,2021-06-20,2021-06-20,29.41919506
