unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,0.000263,0.000308,0.000307,0.000289,389977.38,2021-07-20,2021-07-20,112.70346282
1626652800,0.000306,0.000322,0.000322,0.000308,279713.74,2021-07-19,2021-07-19,86.15183191999999
1626566400,0.000313,0.000333,0.000319,0.000323,399890.58,2021-07-18,2021-07-18,129.16465734
1626480000,0.000316,0.000327,0.000323,0.000318,327785.96,2021-07-17,2021-07-17,104.23593527999999
1626393600,0.000321,0.00035,0.000343,0.000323,558211.18,2021-07-16,2021-07-16,180.30221114
1626307200,0.000339,0.000382,0.000358,0.000344,813232.86,2021-07-15,2021-07-15,279.75210384
1626220800,0.000314,0.000372,0.000335,0.000358,912089.8,2021-07-14,2021-07-14,326.5281484
1626134400,0.000322,0.00035,0.000332,0.000334,839970.04,2021-07-13,2021-07-13,280.54999336
1626048000,0.00032,0.000344,0.000344,0.000331,509595.62,2021-07-12,2021-07-12,168.67615022
1625961600,0.00034,0.000371,0.000356,0.000345,465735.88,2021-07-11,2021-07-11,160.6788786
1625875200,0.000319,0.000372,0.000322,0.000357,1316348.66,2021-07-10,2021-07-10,469.93647161999996
1625788800,0.000289,0.000334,0.000304,0.000323,852153.88,2021-07-09,2021-07-09,275.24570324
1625702400,0.000296,0.00037,0.000313,0.000303,1651558.29,2021-07-08,2021-07-08,500.42216187
1625616000,0.000262,0.000335,0.000264,0.000312,1670483.85,2021-07-07,2021-07-07,521.1909612000001
1625529600,0.000248,0.00027,0.000249,0.000264,504043.72,2021-07-06,2021-07-06,133.06754208
1625443200,0.000241,0.000249,0.000249,0.000249,314733.68,2021-07-05,2021-07-05,78.36868632
1625356800,0.000244,0.000255,0.000251,0.00025,252906.86,2021-07-04,2021-07-04,63.226715
1625270400,0.000245,0.000258,0.00025,0.000252,153793.0,2021-07-03,2021-07-03,38.755836
1625184000,0.000248,0.000262,0.00026,0.000251,253735.29,2021-07-02,2021-07-02,63.68755778999999
1625097600,0.000251,0.000264,0.000254,0.000261,336952.05,2021-07-01,2021-07-01,87.94448505
1625011200,0.000245,0.000258,0.000254,0.000255,341278.49,2021-06-30,2021-06-30,87.02601495
1624924800,0.000241,0.000256,0.000243,0.000254,378124.39,2021-06-29,2021-06-29,96.04359506
1624838400,0.000236,0.000251,0.000249,0.000244,362346.69,2021-06-28,2021-06-28,88.41259236
1624752000,0.000247,0.000257,0.000256,0.000249,217344.28,2021-06-27,2021-06-27,54.11872571999999
1624665600,0.000253,0.000265,0.000261,0.000256,273684.08,2021-06-26,2021-06-26,70.06312448
1624579200,0.000257,0.000271,0.000265,0.000261,332450.63,2021-06-25,2021-06-25,86.76961443
1624492800,0.000248,0.000273,0.000255,0.000265,426203.19,2021-06-24,2021-06-24,112.94384534999999
1624406400,0.000228,0.000256,0.000232,0.000256,452745.9,2021-06-23,2021-06-23,115.9029504
1624320000,0.000218,0.000257,0.000246,0.000232,746124.25,2021-06-22,2021-06-22,173.100826
1624233600,0.000245,0.000284,0.000277,0.000246,650123.03,2021-06-21,2021-06-21,159.93026538
1624147200,0.000276,0.000291,0.000291,0.000277,259170.63,2021-06-20,2021-06-20,71.79026451
1624060800,0.000286,0.000292,0.000289,0.000291,207815.71,2021-06-19,2021-06-19,60.474371610000006
1623974400,0.000283,0.000293,0.000291,0.000289,252234.51,2021-06-18,2021-06-18,72.89577339
1623888000,0.000288,0.0003,0.000298,0.000292,200965.87,2021-06-17,2021-06-17,58.68203404
1623801600,0.000277,0.000301,0.00028,0.000299,399711.32,2021-06-16,2021-06-16,119.51368468
1623715200,0.000271,0.000285,0.000274,0.00028,250380.42,2021-06-15,2021-06-15,70.1065176
1623628800,0.000271,0.000281,0.000275,0.000275,216775.07,2021-06-14,2021-06-14,59.613144250000005
1623542400,0.000273,0.000281,0.000278,0.000275,160219.94,2021-06-13,2021-06-13,44.060483500000004
1623456000,0.000274,0.000295,0.000294,0.000277,266827.15,2021-06-12,2021-06-12,73.91112055
1623369600,0.000279,0.000321,0.000282,0.000295,513740.77,2021-06-11,2021-06-11,151.55352715
1623283200,0.000277,0.000285,0.000284,0.000282,532026.64,2021-06-10,2021-06-10,150.03151248
1623196800,0.000274,0.000284,0.000283,0.000283,431681.72,2021-06-09,2021-06-09,122.16592675999999
1623110400,0.000273,0.000289,0.000286,0.000283,557242.45,2021-06-08,2021-06-08,157.69961335
1623024000,0.000284,0.000302,0.000302,0.000285,262986.63,2021-06-07,2021-06-07,74.95118955
1622937600,0.000299,0.000309,0.000308,0.000302,186039.24,2021-06-06,2021-06-06,56.183850480000004
1622851200,0.000302,0.000317,0.000302,0.00031,467778.25,2021-06-05,2021-06-05,145.0112575
1622764800,0.000299,0.000318,0.000311,0.000306,532060.94,2021-06-04,2021-06-04,162.81064763999998
1622678400,0.000306,0.000318,0.000318,0.000311,332909.32,2021-06-03,2021-06-03,103.53479852000001
1622592000,0.000309,0.000324,0.000317,0.000317,398740.26,2021-06-02,2021-06-02,126.40066242
1622505600,0.000311,0.000322,0.000314,0.000316,434330.88,2021-06-01,2021-06-01,137.24855807999998
1622419200,0.000309,0.00033,0.000327,0.000313,557491.71,2021-05-31,2021-05-31,174.49490523
1622332800,0.000314,0.000341,0.000328,0.000327,410476.13,2021-05-30,2021-05-30,134.22569450999998
