id,base_currency,quote_currency
ZEN-USDT,ZEN,USDT
AXS-USDT,AXS,USDT
FOX-USDT,FOX,USDT
ALGO-BTC,ALGO,BTC
COTI-USD,COTI,USD
BLZ-USD,BLZ,USD
FIL-BTC,FIL,BTC
DESO-USD,DESO,USD
AUCTION-EUR,AUCTION,EUR
RAI-USD,RAI,USD
ETC-EUR,ETC,EUR
LTC-GBP,LTC,GBP
NU-EUR,NU,EUR
ETC-USD,ETC,USD
MINA-USDT,MINA,USDT
KEEP-USD,KEEP,USD
DAI-USDC,DAI,USDC
GRT-BTC,GRT,BTC
FIDA-USDT,FIDA,USDT
COVAL-USD,COVAL,USD
SHIB-USDT,SHIB,USDT
BADGER-USD,BADGER,USD
PLA-USD,PLA,USD
LCX-USDT,LCX,USDT
DOT-EUR,DOT,EUR
1INCH-USD,1INCH,USD
LINK-ETH,LINK,ETH
RGT-USD,RGT,USD
CGLD-EUR,CGLD,EUR
NMR-GBP,NMR,GBP
AVT-USD,AVT,USD
RLY-USD,RLY,USD
STX-USD,STX,USD
ZEN-USD,ZEN,USD
YFII-USD,YFII,USD
COMP-USD,COMP,USD
DOGE-EUR,DOGE,EUR
1INCH-EUR,1INCH,EUR
CTX-USD,CTX,USD
ENJ-USD,ENJ,USD
OMG-GBP,OMG,GBP
ANKR-EUR,ANKR,EUR
BAT-BTC,BAT,BTC
ATOM-EUR,ATOM,EUR
XTZ-EUR,XTZ,EUR
ALCX-EUR,ALCX,EUR
BAT-ETH,BAT,ETH
AMP-USD,AMP,USD
ETC-BTC,ETC,BTC
ICP-BTC,ICP,BTC
BAND-EUR,BAND,EUR
AAVE-EUR,AAVE,EUR
CLV-GBP,CLV,GBP
OMG-BTC,OMG,BTC
ORN-BTC,ORN,BTC
BCH-BTC,BCH,BTC
BCH-EUR,BCH,EUR
1INCH-GBP,1INCH,GBP
JASMY-USD,JASMY,USD
SHIB-GBP,SHIB,GBP
GODS-USD,GODS,USD
NCT-USD,NCT,USD
BAL-USD,BAL,USD
BADGER-USDT,BADGER,USDT
KRL-USD,KRL,USD
YFI-USD,YFI,USD
NU-GBP,NU,GBP
XTZ-USD,XTZ,USD
MANA-USDC,MANA,USDC
QSP-USDT,QSP,USDT
ADA-GBP,ADA,GBP
MATIC-BTC,MATIC,BTC
CLV-USD,CLV,USD
BTC-USDC,BTC,USDC
CLV-EUR,CLV,EUR
ICP-USD,ICP,USD
MASK-USDT,MASK,USDT
DOT-USDT,DOT,USDT
UST-USD,UST,USD
TRB-USD,TRB,USD
UMA-EUR,UMA,EUR
DAI-USD,DAI,USD
AUCTION-USD,AUCTION,USD
SHIB-EUR,SHIB,EUR
SUSHI-GBP,SUSHI,GBP
CRV-USD,CRV,USD
DDX-USDT,DDX,USDT
TRU-BTC,TRU,BTC
SOL-EUR,SOL,EUR
SKL-BTC,SKL,BTC
ICP-GBP,ICP,GBP
TRAC-USDT,TRAC,USDT
1INCH-BTC,1INCH,BTC
RARI-USD,RARI,USD
MUSD-USD,MUSD,USD
BOND-USD,BOND,USD
SPELL-USD,SPELL,USD
GMT-USD,GMT,USD
BAL-BTC,BAL,BTC
OMG-EUR,OMG,EUR
DIA-EUR,DIA,EUR
BTC-USDT,BTC,USDT
SNX-GBP,SNX,GBP
QNT-USDT,QNT,USDT
REP-BTC,REP,BTC
APE-USDT,APE,USDT
MANA-USD,MANA,USD
COVAL-USDT,COVAL,USDT
USDT-GBP,USDT,GBP
XLM-USD,XLM,USD
GMT-USDT,GMT,USDT
ARPA-USD,ARPA,USD
ETH-USDC,ETH,USDC
ETH-BTC,ETH,BTC
NU-BTC,NU,BTC
BTRST-GBP,BTRST,GBP
ANKR-BTC,ANKR,BTC
CHZ-EUR,CHZ,EUR
BTRST-USD,BTRST,USD
SUPER-USD,SUPER,USD
GYEN-USD,GYEN,USD
WCFG-USD,WCFG,USD
DOGE-USD,DOGE,USD
UMA-GBP,UMA,GBP
PAX-USD,PAX,USD
OXT-USD,OXT,USD
RBN-USD,RBN,USD
CRV-BTC,CRV,BTC
ATOM-USDT,ATOM,USDT
CRV-EUR,CRV,EUR
XYO-BTC,XYO,BTC
FIL-GBP,FIL,GBP
NCT-EUR,NCT,EUR
XYO-EUR,XYO,EUR
AGLD-USD,AGLD,USD
SUSHI-EUR,SUSHI,EUR
DDX-EUR,DDX,EUR
DESO-USDT,DESO,USDT
EOS-BTC,EOS,BTC
FARM-USDT,FARM,USDT
SYN-USD,SYN,USD
ATOM-GBP,ATOM,GBP
MASK-USD,MASK,USD
FARM-USD,FARM,USD
BTRST-USDT,BTRST,USDT
AVAX-USD,AVAX,USD
SUSHI-ETH,SUSHI,ETH
SOL-ETH,SOL,ETH
RNDR-USDT,RNDR,USDT
AVAX-EUR,AVAX,EUR
TRAC-USD,TRAC,USD
BCH-USD,BCH,USD
UNI-USD,UNI,USD
SHPING-EUR,SHPING,EUR
ADA-ETH,ADA,ETH
MANA-BTC,MANA,BTC
CRO-EUR,CRO,EUR
TRU-USDT,TRU,USDT
IOTX-EUR,IOTX,EUR
ROSE-USD,ROSE,USD
ETH-GBP,ETH,GBP
POWR-USDT,POWR,USDT
AAVE-GBP,AAVE,GBP
LINK-USD,LINK,USD
GFI-USD,GFI,USD
USDC-EUR,USDC,EUR
ADA-USDT,ADA,USDT
TRU-USD,TRU,USD
ENS-USDT,ENS,USDT
