,close,date,high,low,open,time,unix,vol_fiat,volume
0,1.768e-05,2022-05-20,1.784e-05,1.737e-05,1.755e-05,2022-05-20,1653004800,19.4183119208,1098320.81
1,1.758e-05,2022-05-19,1.801e-05,1.715e-05,1.77e-05,2022-05-19,1652918400,29.6777810736,1688155.92
2,1.762e-05,2022-05-18,1.914e-05,1.753e-05,1.895e-05,2022-05-18,1652832000,41.1742322234,2336789.57
3,1.898e-05,2022-05-17,1.958e-05,1.861e-05,1.867e-05,2022-05-17,1652745600,30.8112539852,1623353.74
4,1.865e-05,2022-05-16,1.977e-05,1.851e-05,1.904e-05,2022-05-16,1652659200,35.7035310925,1914398.45
5,1.908e-05,2022-05-15,1.921e-05,1.738e-05,1.787e-05,2022-05-15,1652572800,31.0062903804,1625067.63
6,1.787e-05,2022-05-14,1.87e-05,1.705e-05,1.812e-05,2022-05-14,1652486400,47.07160395619999,2634113.26
7,1.807e-05,2022-05-13,1.971e-05,1.629e-05,1.629e-05,2022-05-13,1652400000,107.6844803463,5959296.09
8,1.63e-05,2022-05-12,1.829e-05,1.508e-05,1.782e-05,2022-05-12,1652313600,171.66023254299998,10531302.61
9,1.783e-05,2022-05-11,2.083e-05,1.674e-05,2.026e-05,2022-05-11,1652227200,177.79862735370003,9971880.39
10,2.026e-05,2022-05-10,2.171e-05,1.961e-05,2.008e-05,2022-05-10,1652140800,134.9757722702,6662180.27
11,2.006e-05,2022-05-09,2.207e-05,1.972e-05,2.177e-05,2022-05-09,1652054400,117.23062635920002,5843999.32
12,2.176e-05,2022-05-08,2.204e-05,2.128e-05,2.143e-05,2022-05-08,1651968000,33.7751104,1552165.0
13,2.143e-05,2022-05-07,2.182e-05,2.136e-05,2.173e-05,2022-05-07,1651881600,34.4628900157,1608160.99
14,2.175e-05,2022-05-06,2.199e-05,2.137e-05,2.155e-05,2022-05-06,1651795200,52.0908613275,2394982.13
15,2.157e-05,2022-05-05,2.28e-05,2.117e-05,2.266e-05,2022-05-05,1651708800,110.8847844633,5140694.69
16,2.264e-05,2022-05-04,2.266e-05,2.034e-05,2.041e-05,2022-05-04,1651622400,73.1938433304,3232943.61
17,2.042e-05,2022-05-03,2.074e-05,2.017e-05,2.027e-05,2022-05-03,1651536000,22.0126225734,1077993.27
18,2.027e-05,2022-05-02,2.058e-05,1.996e-05,2.053e-05,2022-05-02,1651449600,21.9108427164,1080949.32
19,2.054e-05,2022-05-01,2.074e-05,1.984e-05,2.009e-05,2022-05-01,1651363200,33.2535022794,1618963.11
