,close,date,high,low,open,time,unix,vol_fiat,volume
0,1911.98,2022-05-18,2108.8,1905.24,2088.95,2022-05-18,1652832000,345510732.00180113,180708.34004634
1,2088.96,2022-05-17,2120.0,2005.0,2020.57,2022-05-17,1652745600,320096535.4546631,153232.48671811
2,2020.58,2022-05-16,2142.82,1976.22,2142.74,2022-05-16,1652659200,381082254.3870808,188600.42878138
3,2142.69,2022-05-15,2164.17,1997.44,2053.43,2022-05-15,1652572800,216255398.0509944,100927.05806766
4,2053.33,2022-05-14,2066.4,1941.57,2005.69,2022-05-14,1652486400,243361149.2956437,118520.23264436
5,2005.48,2022-05-13,2145.56,1934.61,1954.27,2022-05-13,1652400000,674820379.915945,336488.21225639
6,1954.39,2022-05-12,2188.14,1701.0,2075.55,2022-05-12,1652313600,1570688668.1534789,803672.07576455
7,2075.93,2022-05-11,2451.12,2000.0,2340.66,2022-05-11,1652227200,1167381690.027426,562341.54813863
8,2340.51,2022-05-10,2458.09,2198.24,2227.74,2022-05-10,1652140800,1087945203.8121395,464832.53812722
9,2228.5,2022-05-09,2529.47,2222.22,2518.82,2022-05-09,1652054400,1049576011.907634,470978.69055761
10,2519.1,2022-05-08,2641.4,2482.0,2634.57,2022-05-08,1651968000,343162439.7747593,136224.22284735
11,2634.8,2022-05-07,2703.61,2585.79,2691.89,2022-05-07,1651881600,198411687.5787588,75304.26885485
12,2691.72,2022-05-06,2757.78,2631.97,2747.46,2022-05-06,1651795200,497769717.6110256,184926.26187383
13,2747.43,2022-05-05,2953.73,2687.88,2939.98,2022-05-05,1651708800,534649636.4072156,194599.9120659
14,2939.98,2022-05-04,2969.86,2770.02,2780.35,2022-05-04,1651622400,509943381.00973743,173451.30953603
15,2780.34,2022-05-03,2861.73,2753.66,2856.3,2022-05-03,1651536000,435993193.8334578,156812.90555596
16,2856.21,2022-05-02,2883.0,2776.26,2824.79,2022-05-02,1651449600,585979099.8294418,205159.66957242
17,2824.86,2022-05-01,2849.0,2716.79,2726.37,2022-05-01,1651363200,279113385.4988469,98806.09499191
18,2726.59,2022-04-30,2842.08,2716.4,2816.77,2022-04-30,1651276800,267564967.2001811,98131.72028071
19,2816.94,2022-04-29,2946.68,2775.51,2935.97,2022-04-29,1651190400,575752041.9986323,204389.17477782
20,2935.91,2022-04-28,2980.36,2853.83,2889.78,2022-04-28,1651104000,490476097.8584744,167061.01272126
21,2889.78,2022-04-27,2920.0,2794.23,2809.5,2022-04-27,1651017600,499304041.7184042,172782.71761809
22,2809.26,2022-04-26,3038.6,2766.77,3007.24,2022-04-26,1650931200,537039019.6094096,191167.43185373
23,3007.22,2022-04-25,3026.93,2797.51,2921.7,2022-04-25,1650844800,695272515.6761018,231201.08128973
24,2921.96,2022-04-24,2968.31,2911.9,2933.45,2022-04-24,1650758400,140150637.32392135,47964.59818886
25,2933.44,2022-04-23,2979.57,2917.34,2963.03,2022-04-23,1650672000,148894425.368844,50757.61746238
26,2963.05,2022-04-22,3033.76,2933.13,2983.72,2022-04-22,1650585600,438224825.07284826,147896.5340014
27,2983.94,2022-04-21,3179.74,2940.0,3077.16,2022-04-21,1650499200,518114235.5571956,173634.26729666
28,3077.06,2022-04-20,3169.29,3032.72,3102.44,2022-04-20,1650412800,360971120.1010786,117310.39372033
29,3102.26,2022-04-19,3132.47,3029.58,3055.86,2022-04-19,1650326400,365003356.942307,117657.24244335
30,3056.19,2022-04-18,3071.26,2880.0,2988.09,2022-04-18,1650240000,506614957.19934136,165766.83949602
31,2988.4,2022-04-17,3082.96,2981.52,3060.35,2022-04-17,1650153600,201204995.71310663,67328.66942615
32,3060.35,2022-04-16,3086.83,3010.67,3040.41,2022-04-16,1650067200,142141689.7844244,46446.22013313
33,3040.19,2022-04-15,3058.99,2993.29,3021.68,2022-04-15,1649980800,228291003.41667315,75091.03161864
34,3021.78,2022-04-14,3145.19,2976.0,3119.01,2022-04-14,1649894400,396088855.11633766,131077.99214911
35,3119.0,2022-04-13,3129.92,2997.5,3028.27,2022-04-13,1649808000,421458093.8180432,135126.03200322
36,3027.82,2022-04-12,3089.87,2950.35,2979.32,2022-04-12,1649721600,609475342.0150906,201291.80136702
37,2979.55,2022-04-11,3214.88,2950.0,3203.05,2022-04-11,1649635200,709670462.5116469,238180.41734881
38,3203.05,2022-04-10,3309.28,3189.92,3259.45,2022-04-10,1649548800,188021084.55725613,58700.63987676
39,3258.99,2022-04-09,3269.74,3181.8,3192.54,2022-04-09,1649462400,159567733.7002257,48962.32688662
40,3192.54,2022-04-08,3313.79,3173.48,3227.26,2022-04-08,1649376000,438375980.6644962,137312.60396565
41,3227.56,2022-04-07,3269.56,3143.07,3168.1,2022-04-07,1649289600,509068396.42046887,157725.46332848
42,3168.52,2022-04-06,3408.0,3161.64,3406.99,2022-04-06,1649203200,986564108.072349,311364.33037265
43,3407.0,2022-04-05,3555.48,3395.8,3520.5,2022-04-05,1649116800,567190999.9113393,166478.13322904
44,3520.66,2022-04-04,3548.51,3405.79,3522.51,2022-04-04,1649030400,549058303.1335052,155953.23125025
45,3522.78,2022-04-03,3581.6,3413.66,3445.25,2022-04-03,1648944000,355356149.3134232,100873.78414588
46,3445.38,2022-04-02,3532.85,3433.31,3456.25,2022-04-02,1648857600,403300483.69284666,117055.44343232
47,3456.48,2022-04-01,3482.42,3211.66,3283.08,2022-04-01,1648771200,737788407.6732419,213450.79609118
48,3283.08,2022-03-31,3447.03,3260.99,3386.69,2022-03-31,1648684800,553519775.5871695,168597.71177893
49,3386.68,2022-03-30,3448.62,3333.87,3401.7,2022-03-30,1648598400,458161773.137832,135283.45551922
50,3401.71,2022-03-29,3483.87,3331.23,3334.19,2022-03-29,1648512000,593850017.242721,174573.96933975
51,3334.47,2022-03-28,3437.24,3275.57,3296.24,2022-03-28,1648425600,790636740.0227232,237110.16743972
52,3296.29,2022-03-27,3299.99,3127.74,3146.33,2022-03-27,1648339200,403715859.4834107,122475.83176341
53,3146.22,2022-03-26,3154.47,3086.2,3103.91,2022-03-26,1648252800,219338316.8011614,69714.86952634
